;Chinese-English
查找|Search
刀库轴速度|Shaft Speed of Tool Magazine
回工件原点速度|Homing Speed
负软极限|Negative Soft Limit
正软极限|Positive Soft Limit
减速时间|Deceleration Time
归零速度|Zero Speed
加速时间|Acceleration Time
开料X轴|Process X-Axis
开料Z轴|Process Z-Axis
开料Y轴|Process Y-Axis
跳过预览|Skip Preview
跳过预扫|Skip Prescan
载入目录所有文件|Load All Files in the Directory
对刀|Tool Setting
循环加工|Cycle Processing
自动启动|Auto Start
删除已加工文件|Delete Processed Files
8尺板|8-feet Panel
9尺板|9-feet Panel
开启点击取反|Enable Click Inverse
加工设置|Process Setting
状态栏|Status Bar
其他|Other
加工操作|Process Operations
手动操作|Manual Operation
主轴设置|Spindle Setting
刀库设置|Tool Magazine Setting
开料设置|Nesting Setting
吸真空区操作|Vacuum Zone Operation
机器配置参数|Machine Configuration Parameters
系统配置|SysConfig
伺服轴号软极限配置|Soft Limit Configuration of Servo Shaft NO
退出登录|Logout
关闭|Close
最小化|Minimize
解锁|Unlock
创建新的语言包|Create A New Language Pack
跳过上下料|Skip Loading/Unloading
手动上料|Manual Loading
手动上下料|Manual Loading/Unloading
手动下料|Manual Unloading
毛刷升降|Brush Up/Down
预热|Warm Up
手轮模拟|Handwheel Simulation
压辊|Pressure Roller
真空总控|Vacuum
真空泵|Vacuum Pump
跳过检测|Skip Detection
M真空总控|M Vacuum
不贴标上料|Loading without Labeling
启动贴标|Enable Labeling
自动模式|Auto
复位|Reset
跳行|Skip Row
启动|Start
下一步|Next
打开|Open
预扫|Prescan
断点|Continue
单步|Step by Step
油泵加油|Fuel Oil Pump
安全门锁|Safety Door Lock
小板侧推推出|Small Panel Pusher Forward
小板侧推降|Small Panel Pusher down
右导向升|Right Guide up
左导向升|Left Guide down
Y侧靠气缸|Y Side Aligner Cylinder
X侧靠气缸|X Side Aligner Cylinder
抓料吸附|Loader Adsorption
抓料降|Loader down
Y定位气缸|Y Positioning Cylinder
X定位气缸|X Positioning Cylinder
推料降|Pusher down
排钻启动|Drill Head Start
所有排钻下|All down
钻包下|Drill Head down
所有排钻上|All up
排钻5|Drill Head 5
排钻1|Drill Head 1
排钻9|Drill Head 9
排钻2|Drill Head 2
排钻8|Drill Head 8
排钻3|Drill Head 3
排钻7|Drill Head 7
排钻4|Drill Head 4
排钻6|Drill Head 6
夹刀|Clamp
开启松刀夹刀功能|Enable Clamp/Unclamp Function
松刀|Unclamp
反转|Backward
正转|Forward
刀柄吹气|Shank Blow
刀库推出|Tool Magazine Forward
设为当前刀号|Set as Current Tool NO
换刀|Change Tool
刀库标零|Tool Magazine Zero
转到|Turn to
刀库反转|Tool Magazine Backward
刀库正转|Tool Magazine Forward
校正原点|Correct Origin
(三轴)开料回零|(Three Axes)Home
取消校正|Cancel Correction
X矫正|X Correction
Y矫正|Y Correction
Z矫正|Z Correction
Z轴回零|Z Home
Y轴回零|Y Home
X轴回零|X Home
吸真空区4|Vacuum Area 4
吸真空区5|Vacuum Area 5
吸真空区6|Vacuum Area 6
吸真空区3|Vacuum Area 3
吸真空区2|Vacuum Area 2
吸真空区1|Vacuum Area 1
数据恢复|Data Recovery
数据备份|Data Backup
恢复默认|Restore Defaults
选择路径|Choose a Path
紧急停止|EMG Stop
开料X轴正向软极限|X+ Soft Limit
开料X轴负向软极限|X- Soft Limit
开料X轴正向极限|X+ Limit
开料X轴负向极限|X- Limit
开料X轴异常|X-Axis Error
开料X轴低电压|X-Axis Low Voltage
开料X轴过电压|X-Axis Over Voltage
开料X轴过负荷|X-Axis Overload
开料X轴位置误差过大|X-Axis Position Error is Excessive
开料Y轴正向软极限|Y+ Soft Limit
开料Y轴负向软极限|Y- Soft Limit
开料Y轴正向极限|Y+ Limit
开料Y轴负向极限|Y- Limit
开料Y轴异常|Y-Axis Error
开料Y轴低电压|Y-Axis Low Voltage
开料Y轴过电压|Y-Axis Over Voltage
开料Y轴过负荷|Y-Axis Overload
开料Y轴位置误差过大|Y-Axis Position Error is Excessive
开料Z轴正向软极限|Z+ Soft Limit
开料Z轴负向软极限|Z- Soft Limit
开料Z轴正向极限|Z+ Limit
开料Z轴负向极限|Z- Limit
开料Z轴未归零|Z-Axis Does Not Home
开料Z轴异常|Z-Axis Error
开料Z轴低电压|Z-Axis Low Voltage
开料Z轴过电压|Z-Axis Over Voltage
开料Z轴过负荷|Z-Axis Overload
开料Z轴位置误差过大|Z-Axis Position Error is Excessive
开料龙门轴正向软极限|C+ Soft Limit
开料龙门轴负向软极限|C- Soft Limit
开料龙门轴正向极限|C+ Limit
开料龙门轴负向极限|C- Limit
开料龙门轴未归零|C-Axis Does Not Home
开料龙门轴异常|C-Axis Error
开料龙门轴低电压|C-Axis Low Voltage
开料龙门轴过电压|C-Axis Over Voltage
开料龙门轴过负荷|C-Axis Overload
开料龙门轴位置误差过大|C-Axis Position Error is Excessive
X轴异常|X-Axis Error
龙门轴异常|C-Axis Error
Y轴异常|Y-Axis Error
Z轴异常|Z-Axis Error
刀库轴异常|T-Axis Error
刀库轴正向软极限|T+ Soft Limit
刀库轴负向软极限|T- Soft Limit
刀库轴正向极限|T+ Limit
刀库轴负向极限|T- Limit
刀库轴未归零|T-Axis Does Not Home
刀库轴低电压|T-Axis Low Voltage
刀库轴过电压|T-Axis Over Voltage
刀库轴过负荷|T-Axis Overload
刀库轴位置误差过大|T-Axis Position Error is Excessive
开料GCode报警|Loading G Code Alarm
GCode软极限报警|G Code Soft Limit Alarm
未识别的GCode|Unrecognized G code
推料除尘推出异常|Pusher Dedusting Forward Error
推料除尘退回异常|Pusher Dedusting Backward Error
左导向上到位异常|Left Guide up-in-Place Error
左导向下到位异常|Left Guide down-in-Place Error
右导向上到位异常|Right Guide up-in-Place Error
右导向下到位异常|Right Guide down-in-Place Error
手轮异常|MPG Error
对刀Z轴负极限|Tool Setting Z-Axis Negative limit
破真空有真空残余|There is residual vacuum after vacuum breaking
真空泵过载|Vacuum Pump Overheat
X轴龙门误差过大,请检查驱动器异常|X-axis gantry error is too large, please check the drive abnormality
大主轴1过载|Spindle 1 Overload
大主轴2过载|Spindle 2 Overload
小主轴1过载|Spindle 3 Overload
小主轴2过载|Spindle 4 Overload
主轴通讯异常|Spindle Communication Error
气压不足|Insufficient Air Pressure
真空压力不足|Insufficient Vacuum Pressure
无油报警|Out of Oil
主轴1上升到位异常|Spindle 1 up-in-Place Error
主轴1下降到位异常|Spindle 1 down-in-Place Error
主轴3上升到位异常|Spindle 3 up-in-Place Error
主轴3下降到位异常|Spindle 3 down-in-Place Error
主轴2上升到位异常|Spindle 2 up-in-Place Error
主轴2下降到位异常|Spindle 2 down-in-Place Error
主轴4上升到位异常|Spindle 4 up-in-Place Error
主轴4下降到位异常|Spindle 4 down-in-Place Error
推料上升到位异常|Pusher up-in-Place Error
推料下降到位异常|Pusher down-in-Place Error
Y定位气缸下异常|Y Positioning Cylinder down Error
X定位气缸下异常|X Positioning Cylinder down Error
X方向侧靠前推到位异常|X Side Aligner Forward-in-Place Error
X方向侧靠后退到位异常|X Side Aligner Backward-in-Place Error
Y方向侧靠后退到位异常|Y Side Aligner Backward-in-Place Error
加工时无真空吸力|No Vacuum Suction during Processing
请先启动真空泵|Please Turn on Vacuum Pump
变频器1 电机热过载|INV 1 Motor Thermal Overload
变频器2 电机热过载|INV 2 Motor Thermal Overload
X轴未到推料降允许位置|X-Axis Does Not Reach the Position Allowed for Pusher to Fall down
Z轴不在安全位，换刀报警|Z-Axis Is Not at a Safe Position, Tool Change Alarm
变频器1有警报|Inverter 1 Alarms
变频器2有警报|Inverter 2 Alarms
主轴有刀,刀库刀夹有刀,刀库无法推出|Both spindle and tool magazine have tools, tool magazine can't move
X轴未到Y方向侧靠允许位置|X-Axis Does Not Reach the Position Allowed for Y Side Aligner
刀库推出到位异常|Tool Magazine Forward-in-Place Error
刀库退回到位异常|Tool Magazine Backward-in-Place Error
排钻过载|Drill Head Overload
毛刷上升到位异常|Brush up-in-Place Error
排钻下降到位异常|Drill Head down-in-Place Error
排钻上升到位异常|Drill Head up-in-Place Error
主轴夹刀异常|Spindle Clamp Error
主轴松刀异常|Spindle Unclamp Error
主轴电气元件异常|Electrical Component Error of Spindle
主轴启动异常|Spindle Start Error
主轴风扇异常|Spindle Fan Error
刀库防尘罩打开异常|Tool Magazine Dust Hood Open Error
主轴启动中继异常|Spindle Start Relay Error
换刀当前主轴刀号错误|Current Tool No Error during Tool Change
换刀当前主轴无刀|No Tool in Current Spindle during Tool Change
M工件定位气缸1下降异常|Error in M Positioning Cylinder 1 Falling
M工件定位气缸2下降异常|Error in M Positioning Cylinder 2 Falling
N真空压力不足|N Vacuum Pressure Insufficient
M真空压力不足|M Vacuum Pressure Insufficient
N加工时X轴超过正向软极限|X+ Soft Limit Exceeded When Processing in Section N
N加工时X轴超过负向软极限|X- Soft Limit Exceeded When Processing in Section N
M加工时X轴超过正向软极限|X+ Soft Limit Exceeded When Processing in Section M
M加工时X轴超过负向软极限|X- Soft Limit Exceeded When Processing in Section M
N工件定位气缸1下降异常|Error in N Positioning Cylinder 1 Falling
N工件定位气缸2下降异常|Error in N Positioning Cylinder 2 Falling
N加工时无真空吸力|No Vacuum Suction during Processing in Section N
M加工时无真空吸力|No Vacuum Suction during Processing in Section M
主轴过低，推料除尘禁止推出|Spindle is too low, pusher dedusting is not allowed
GCode X轴正向软极限报警|G Code X+ Soft Limit Exceed
GCode X轴负向软极限报警|G Code X- Soft Limit Exceed
GCode Y轴正向软极限报警|G Code Y+ Soft Limit Exceed
GCode Y轴负向软极限报警|G Code Y- Soft Limit Exceed
GCode Z轴正向软极限报警|G Code Z+ Soft Limit Exceed
GCode Z轴负向软极限报警|G Code Z- Soft Limit Exceed
对刀值超过Z负软极限|Tool setting value exceeds Z- soft limit
非主轴编号|Non Spindle NO
不支持A2-F外的驱动器|Drives other than A2-F are not supported
不支持EtherCAT|EtherCAT is not supported
Y定位气缸上升异常|Y Positioning Cylinder up-in-Place Error
X定位气缸上升异常|X Positioning Cylinder up-in-Place Error
N工件定位气缸1上升异常|N Positioning Cylinder 1 Rise Error
N工件定位气缸2上升异常|N Positioning Cylinder 2 Rise Error
M工件定位气缸1上升异常|M Positioning Cylinder 1 Rise Error
M工件定位气缸2上升异常|M Positioning Cylinder 2 Rise Error
加工过程中定位气缸上升异常|Positioning Cylinder Rise Error during Processing
N区加工过程中定位气缸上升异常|Positioning Cylinder Rise Error during Processing in Section N
M区加工过程中定位气缸上升异常|Positioning Cylinder Rise Error during Processing in Section M
抓料上到位异常|Loader up-in-Place Error
抓料下到位异常|Loader down-in-Place Error
主轴在转，无法夹刀|Spindle is running, unable to clamp
主轴在转，无法松刀|Spindle is running, unable to unclamp
自动对刀过程无刀|No Tool during Auto Tool Setting
自动对刀过程刀库退回异常|Tool Changer Backward Error during Auto Tool Setting
主轴有刀，但当前刀号为0|There's tool in spindle but current tool No is 0
主轴无刀，但当前刀号不为0|There's no tool in spindle but current tool No is not 0
小板侧推上到位异常|Small Panel Pusher up-in-Place Error
小板侧推下到位异常|Small Panel Pusher down-in-Place Error
小板侧推推出到位异常|Small Panel Pusher Forward-in-Place Error
小板侧推退回到位异常|Small Panel Pusher Backward-in-Place Error
小板侧推未下降无法推出|Small Panel Pusher Does Not Fall and Can't Move Forwards
小板侧推未收回无法升起|Small Panel Pusher Does Not Move Backwards and Can't Rise
小板侧推下降超限位|Small Panel Pusher Falls and Exceeds Limit
上料超时，请检查上料到位信号|Please check the loader in-place signal because of loading overtime
档案不存在|File Not Existing
1、找不到字符串  2、无加工内容（总行数为零）|1.No string is found. 2. No object to process (Total number of rows is zero)
API SNC_set_process_data的第二项参数为零|Second parameter of API SNC_set_process_data is zero
起始行超过总行数|Start row NO exceeds total number of rows
DLL版本错误|DLL Version Error
切削线段过短错误/警告|Cutting line segment is too short Error/Warning
使用goto指令，但找不到对应的标签|Use goto command but can't find the corresponding label
使用goto指令，但标签重复|Use goto command but the label is duplicated.
SNC_Append_Group参数设定值超出范围|The set value of SNC_Append_Group exceeds the range
SNC_Append_Group参数设定值重复|The set value of SNC_Append_Group is duplicated
未指定SNC群组编号|No SNC Group Number Is Specified
执行绪创建失败|Thread creation failed
变数A重复定义|Duplicate Definition of Variable A
变数B重复定义|Duplicate Definition of Variable B
变数C重复定义|Duplicate Definition of Variable C
变数D重复定义|Duplicate Definition of Variable D
变数E重复定义|Duplicate Definition of Variable E
变数F重复定义|Duplicate Definition of Variable F
变数H重复定义|Duplicate Definition of Variable H
变数I重复定义|Duplicate Definition of Variable I
变数J重复定义|Duplicate Definition of Variable J
变数K重复定义|Duplicate Definition of Variable K
变数L重复定义|Duplicate Definition of Variable L
变数M重复定义|Duplicate Definition of Variable M
变数P重复定义|Duplicate Definition of Variable P
变数Q重复定义|Duplicate Definition of Variable Q
变数R重复定义|Duplicate Definition of Variable R
变数S重复定义|Duplicate Definition of Variable S
变数T重复定义|Duplicate Definition of Variable T
变数U重复定义|Duplicate Definition of Variable U
变数V重复定义|Duplicate Definition of Variable V
变数W重复定义|Duplicate Definition of Variable W
变数X重复定义|Duplicate Definition of Variable X
变数Y重复定义|Duplicate Definition of Variable Y
变数Z重复定义|Duplicate Definition of Variable Z
变数D为负数|Variable D is negative
变数F为负数|Variable F is negative
变数G为负数|Variable G is negative
变数H为负数|Variable H is negative
变数L为负数|Variable L is negative
变数M为负数|Variable M is negative
变数P为负数|Variable P is negative
变数范围不在A~Z之中|Variable range is not within A-Z
未知变数|Unknown Variable
A开头未知函数|Unknown Function Starting with A
C开头未知函数|Unknown Function Starting with C
E开头未知函数|Unknown Function Starting with E
F开头未知函数|Unknown function starting with F
L开头未知函数|Unknown function starting with L
P开头未知函数|Unknown function starting with P
R开头未知函数|Unknown function starting with R
S开头未知函数|Unknown function starting with S
T开头未知函数|Unknown function starting with T
未知的运算子|Unknown Operator
未知的操作|Unknown Operation
A开头未知运算子|Unknown Operator Starting with A
E开头未知运算子|Unknown Operator Starting with E
G开头未知运算子|Unknown Operator Starting with G
L开头未知运算子|Unknown Operator Starting with L
M开头未知运算子|Unknown Operator Starting with M
N开头未知运算子|Unknown Operator Starting with N
O开头未知运算子|Unknown Operator Starting with O
X开头未知运算子|Unknown Operator Starting with X
未知函数|Unknown function.
不支援G10|G10 is not supported
M Code超出范围；容许范围：0~999|M Code is out of range; allowable range: 0-999
存数#变数超出范围|Store # variable out of range
存取@变数超出范围|Store @ variable out of range
给予切削深度Q的设定值不可小于或等于0|The set value given to cutting depth Q cannot be less than or equal to 0
转速S的设定值不可小于0|The set value of rotation speed S cannot be less than 0
刀具T的设定值不可小于0|The set value of tool T cannot be less than 0
同个G Code重复设定功能群组|Repeatedly set functional group within one G Code.
缩放值要设定两个轴|The zoom value should be set for two axes
X 有设定缩放点，但未设定缩放值|X has set a zoom point, but no zoom value
Y 有设定缩放点，但未设定缩放值|Y has set a zoom point, but no zoom value
Z 有设定缩放点，但未设定缩放值|Z has set a zoom point, but no zoom value
未设定镜像轴|Mirror axis is not set.
未设定旋转角度|Rotation angle is not set
钻孔循环次数为负|The number of drilling cycles is negative
SNC初始化失败|SNC initialization failed
加工中无法设定参数|Cannot set parameters during processing
轴号超出范围；容许范围：“1~9”|Axis number is out of range; allowable range: 1-9
轴号重复使用|Axis NO Reuse
使用轴数为零|Number of axes used is 0
G Code使用轴数大于SNC_Axes的设定值|Number of axes used by G Code is more than the set value of SNC_Axes
巨集处理模式设定错误|Macro Processing Mode Setting Error
未设定CALLBACK函数|CALLBACK function is not set
齿轮比为零|Gear ratio is zero
G00进给速度为零|G00 feed speed is zero
工作平面设定错误|Workpiece Plane Setting Error
副程式层数超过四层|More than Four Subroutine Layers
G02、G03参数错误|G02, G03 Parameter Error
G02、G03平面错误|G02, G03 Plane Error
G02、G03无法计算坐标|G02 and G03 Cannot Calculate Coordinate.
G02、G03使用轴数超过三轴|G02, G03 Use More than Three Axes
加工中，无法再使用加工函数|Processing functions can no longer be used during processing
SNC_Tool_Max 参数设定超出范围;容许范围：1~100|SNC_Tool_Max parameter setting is out of range; allowable range: 1-100
刀径补偿目前只支持XY平面|Tool radius compensation currently only supports XY plane
刀径补正与螺旋补间功能不可同时使用|Tool radius correction and spiral tween function cannot be used at the same time
无法计算刀径补偿路径|Unable to calculate tool radius compensation path
刀径补偿第一个动作不能为G02/G03|The first action of tool radius compensation cannot be G02 / G03
记忆体配置错误|Memory Allocation Failure
使用使用者巨集功能，但未设定CALLBACK函数|Use the User Macro function. but CALLBACK function is not set
钻孔处理模式设置错误|Drilling Processing Mode Setting Error
不支持钻孔模式循环|Drilling mode cycle is not supported
齿轮比设定错误|Gear Ratio Setting Error
SNC轴数错误|SNC Axis Number Error
刀径值不正确（太大或太小）|Incorrect Tool Radius (Too Big or Too Small)
使用SNC_Check_Tool_No参数，但是SNC_tool_Max参数设定值为零|SNC_Check_Tool_No parameter is used, but SNC_tool_Max parameter is set to zero
设定方向数值错误（设定值仅能为-1或1）|Direction set value is wrong (set value can only be -1 or 1)
单位设定错误|Unit Setting Error
装置不能为04PIMode1|Device cannot be 04PIMode1
装置为RM模组|Device is RM module
此站号找不到装置|No device found at this station number
未知装置|Unknown device
底层 API 回传错误，请读取参数SNC_API_ErrNo|Low-level API return error, please read the parameter SNC_API_ErrNo
尚未设定群组数目|Group number is not set
操作的群组超出设定范围|Operation group is out of the set range
错误的卡片类别|Wrong Card Type
刀径补正未结束前，无法执行巨集功能|Macro function cannot be executed until the tool radius correction is completed
无上料配置，但使用了P407|No loading configuration, but P407 is used
无下料配置，但使用了P408|No unloading configuration, but P408 is used
无上料配置或下料配置，但使用了P406|No loading or unloading configuration, but P406 is used
未配置排钻但使用了排钻M码|No drill head is configured but drill head M code is used
未配置下料装置但使用了相关M码|Unloader is not configured but the relevant M code is used
未配置上料装置但使用了相关M码|No loader is configured but relevant M code is used
未配置导向装置但使用了相关M码|No guide is configured but relevant M code is used
未配置定位配置但是用了相关M码|No positioner is configured but the relevant M code is used
Y方向侧靠推出到位异常|Y Side Aligner Push Forward-in-Place Error
未满足预热条件|Warm-up condition was not met
排钻接触器吸合异常|Drill Head Contactor Suction Error
排钻接触器断开异常|Drill Head Contactor Disconnection Error
对刀仪信号错误报警|Signal Error for Tool Setting Gauge
对刀仪极限报警|Limit Alarm for Tool Setting Gauge
主轴无刀或未正确夹刀;无法正转|No tool in spindle or tool is not clamped correctly, can't move forwards
主轴无刀或未正确夹刀;无法反转|No tool in spindle or tool is not clamped correctly, can't move backwards
预热阶段1未达到转速|Preheating stage 1 does not reach the rotation speed
预热阶段2未达到转速|Preheating stage 2 does not reach the rotation speed
预热阶段3未达到转速|Preheating stage 3 does not reach the rotation speed
面板急停报警|Panel EMG Stop
大X侧急停报警|X-Axis Side EMG Stop
小X侧急停报警|C Axis Side EMG Stop
外罩急停报警|Cover EMG Stop
N区急停报警|Section N EMG Stop
M区急停报警|Section M EMG Stop
开料X轴过电流|X-axis overcurrent
开料X轴电机匹配错误|X-axis motor mismatch
开料X轴回生错误|X-axis retrogradation error
开料X轴过速度|X-axis over speed
开料X轴异常脉波控制命令|Abnormal pulse command of X-axis
开料X轴位置检出器异常|Defective X-axis position detector
开料X轴校正异常|X-axis calibration error
开料X轴紧急停止|X-Axis EMG Stop
开料X轴反向极限异常|X-axis cackward limit error
开料X轴正向极限异常|X-axis forward limit error
开料X轴IGBT过热|X-axis IGBT overheat
开料X轴记忆体异常|X-axis memory error
开料X轴检出器输出异常|X-axis detector output error
开料X轴串列通讯异常|X-axis serial communication error
开料X轴串列通讯逾时|X-axis serial communication timeout
开料X轴主回路电源异常|Main circuit power supply error for X-axis
开料X轴预先过载警告|X-axis overload in advance
开料X轴编码器初始磁场错误|Initial magnetic field error for X-axis encoder
开料X轴编码器内部错误|Inner error for X-axis encoder
开料X轴编码器内部资料可靠度错误|The reliability of the internal data of  X-axis encoder is incorrect
开料X轴编码器内部重置错误|Internal eeset error for X-axis encoder
开料X轴编码器高电压错误或编码器内部错误|High voltage error or internal error for X-axis encoder
开料X轴格雷码错误|X-axis gray code error
开料X轴电机碰撞错误|X-axis motor collision error
开料X轴电机U、V、W接线错误|U, V, W wiring error for X-axis motor
开料X轴编码器内部通讯异常|Internal communication error for X-axis motor
开料X轴温饱超过保护上限|X-axis temperature beyong protection limit
开料X轴全闭环位置控制误差过大|Closed loop position control error of X-axis is too large
开料X轴光学尺断线|X-axis communication of CN5 is broken
开料X轴类比速度电压输入过高|X-axis analog speed voltage input is too high
开料X轴驱动器功能使用警告|X-axis driver function use warning
开料X轴电子齿轮比设定错误|Electronic gear ratio setting error for X-axis
开料X轴绝对位置遗失|Absolute position of X-axis is missing
开料X轴编码器低电压错误|Low voltage error for X-axis encoder
开料X轴绝对型位置圈数溢位|Absolute position cycle number overflow for X-axis
开料X轴温度警告|X-axis temperature warning
开料X轴绝对型资料I/O传输错误|Absolute data I/O tansmission error for X-axis
开料X轴马达型式错误|X-axis motor type error
开料X轴绝对值位置未初始化|Absolute position is not initialized for X-axis
开料X轴编码器处置未完成警告|X-axis encoder disposal incompletion warning
开料X轴驱动器输出电流过大|Output current of X-axis driver is too large
开料X轴回生异常|X-axis retrogradation error
开料X轴未接外部回生电阻|X-axis does not connect to external retrogradation resistance
开料X轴DSP韧体升级|X-axis DSP firmware upgrade
开料X轴CANopen SDO 接收溢位|X-axis CANopen SDO receives overflow
开料X轴CANopen PDO 接收溢位|X-axis CANopen PDO receives overflow
开料X轴CANopen PDO 存取时，Index错误|Index error occurs when X-axis is accessing CANopen PDO
开料X轴CANopen PDO 存取时，Sub-Index错误|Sub-Index error occurs when X-axis is accessing CANopen PDO
开料X轴CANopen PDO 存取时，资料Size错误|Data Size error occurs when X-axis is accessing CANopen PDO
开料X轴CANopen PDO 存取时，资料范围错误|Data range error occurs when X-axis is accessing CANopen PDO
开料X轴CANopen PDO 物件是唯读，不可写入|X-axis CANopen PDO object is read-only and write-protected
开料X轴CANopen PDO 物件，不允许PDO|X-axis CANopen PDO object, PDO is not allowed
开料X轴CANopen PDO物件，Servo On时，不允许写入|X-axis CANopen PDO object, when Servo On, writing is not allowed
开料X轴由EEPRON读取CANopen PDO物件时发生错误|Error occurs when X-axis reads CANopen PDO object from EEPRON
开料X轴CANopen PDO物件，写入EEPROM时错误|X-axis CANopen PDO object, error occurs when writing to EEPROM
开料X轴CANopen PDO物件，EEPROM的位置超过限制|X-axis CANopen PDO object, EEPROM location exceeds limit
开料X轴CANopen PDO物件，EEPROM的CRC计算错误|X-axis CANopen PDO object, CRC calculation error of EEPROM occurs
开料X轴CANopen PDO物件，写入密码错误|X-axis CANopen PDO object, password writing error
开料X轴心跳监控或节点保护功能错误（Servo On）|X-axis heartbeat monitoring or node protection function error (Servo On)
开料X轴心跳监控或节点保护功能错误（Servo Off）|X-axis heartbeat monitoring or node protection function error (Servo Off)
开料X轴CAN Bus硬体异常（警告）|X-Axis CAN Bus Hardware Error (Warning)
开料X轴CAN Bus硬体异常（Bus-off）|X-Axis CAN Bus Hardware Error (Bus-off)
开料X轴CANNopen资料初始错误|X-Axis CANNopen Data Initial Error
开料X轴PR 命令 Type 8 指令来源组超出范围|X-axis PR command Type 8 instruction source group is out of range
开料X轴PR 命令 Type 8 指令来源参数号码超出范围|X-axis PR command Type 8 instruction source parameter number is out of range
开料X轴PR 命令 Type 8 指令参数设定错误|X-axis PR command Type 8 instruction parameter setting is wrong.
开料X轴写入参数：唯读|X-axis write parameter: read only
开料X轴写入参数：参数锁定|X-axis write parameter: parameter lock
开料X轴PR 命令 Type 8指令设定来源监视项目代码超出范围|X-axis PR command Type 8 instruction setting source monitoring item code is out of range
开料X轴PR 命令异常|X-axis PR command error
开料X轴分度坐标未定义|X-axis indexing coordinate is undefined
开料X轴软体正极限|X-axis forward software limit
开料X轴软体负极限|X-axis backward software limit
开料X轴计数器溢位|X-axis counter overflow
开料X轴Servo OFF异常|X-axis Servo Off error
开料X轴CANopen同步失效（Servo On）|X-axis CANopen failed to synchronize（Servo On）
开料X轴CANopen同步信号过快|X-axis The synchronized signal of CANopen is sent too fast（Servo On）
开料X轴CANopen同步信号超时|X-axis The synchronized signal of CANopen send timeout（Servo On）
开料X轴XCAN open命令失效（Servo On）|X-axis XCAN open command failed（Servo On）
开料X轴SUNC Period 错误（Servo On）|X-axis SYNC Period error（Servo On）
开料X轴CANopen同步失效（Servo Off）|X-axis CANopen failed to synchronize（Servo Off）
开料X轴CANopen同步信号太快（Servo Off）|X-axis The synchronized signal of CANopen is sent too fast（Servo Off）
开料X轴CANopen同步信号超时（Servo Off）|X-axis The synchronized signal of CANopen send timeout（Servo Off）
开料X轴CANopen IP 命令失效（Servo Off）|X-axis CANopen IP command is failed（Servo Off）
开料X轴SYNC period错误（Servo Off）|X-axis SYNC Period error（Servo Off）
开料X轴分度坐标错误|X-axis index coordinate error
开料X轴Servo On时收到NMT Reset 命令|X-axis NMT Reset command is received when Servo On
开料X轴PR 特殊滤波设置太大|X-axis PR special filter is set too large
开料X轴系统故障|X-axis system failure
加工过程中导向条上升异常|The guide bar rises abnormally during processing
启动前手动收起抓料机构|Manually put away the loading mechanism before starting
开料Y轴过电流|Y-axis over current
开料Y轴电机匹配错误|Y-axis motor mismatch
开料Y轴回生错误|Y-axis regeneration error
开料Y轴过速度|Y-axis over speed
开料Y轴异常脉波控制命令|Y-axis abnormal pulse command
开料Y轴位置检出器异常|Y-axis position detector error
开料Y轴校正异常|Y-axis calibration error
开料Y轴紧急停止|Y-axis emergency stop
开料Y轴反向极限异常|Y-axis reverse limit error
开料Y轴正向极限异常|Y-axis positive limit error
开料Y轴IGBT过热|Y-axis IGBT overheating
开料Y轴记忆体异常|Y-axis memory error
开料Y轴检出器输出异常|Y-Axis Detector Output Error
开料Y轴串列通讯异常|Y-Axis Serial Communication Error
开料Y轴串列通讯逾时|Y-axis serial communication timeout
开料Y轴主回路电源异常|Y-axis main circuit power supply is abnormal
开料Y轴预先过载警告|Y-axis pre-overload warning
开料Y轴编码器初始磁场错误|Initial magnetic field error for Y-axis encoder
开料Y轴编码器内部错误|internal error for Y-axis encoder
开料Y轴编码器内部资料可靠度错误|internal data reliability error for Y-axis encoder
开料Y轴编码器内部重置错误|internal reset error for Y-axis encoder
开料Y轴格雷码错误|Y-axis gray code error
开料Y轴电机碰撞错误|Y-axis motor collision error
开料Y轴电机U、V、W接线错误|Wrong connection of U, V, W for Y-axis motor
开料Y轴编码器内部通讯异常|Internal communication error of Y-axis encoder
开料Y轴全闭环位置控制误差过大|Full closed loop position control error for Y-axis is too large
开料Y轴光学尺断线|Optical ruler of Y-axis broken
开料Y轴类比速度电压输入过高|Y-axis analog speed voltage input is too high
开料Y轴驱动器功能使用警告|Y-axis driver function use warning
开料Y轴电子齿轮比设定错误|Y-axis electronic gear ratio setting error
开料Y轴绝对位置遗失|Absolute position Missing for Y-axis
开料Y轴编码器低电压错误|low voltage error for Y-axis encoder
开料Y轴绝对型位置圈数溢位|Absolute position cycle number overflow for Y-axis
开料Y轴温度警告|Y-axis temperature warning
开料Y轴绝对型资料I/O传输错误|absolute data I/O transmission error for Y-axis
开料Y轴马达型式错误|Y-axis motor type error
开料Y轴绝对值位置未初始化|absolute value position of Y-axis is not initialized
开料Y轴编码器处置未完成警告|Y-axis encoder disposal incompletion warning
开料Y轴驱动器输出电流过大|Y-axis driver output current is too large
开料Y轴回生异常|Y-axis retrogradation error
开料Y轴未接外部回生电阻|Y-axis is not connected to external retrogradation resistance
开料Y轴DSP韧体升级|Y-axis DSP firmware upgrade
开料Y轴CANopen SDO 接收溢位|Y-axis CANopen SDO receive overflow
开料Y轴CANopen PDO 接收溢位|Y-axis CANopen PDO receive overflow
